rank,edits
2153,37971
2154,37955
2155,37908
2156,37885
2157,37884
2158,37880
2159,37867
2160,37853
2161,37808
2162,37791
2163,37773
2164,37767
2165,37759
2166,37750
2167,37728
2168,37718
2169,37711
2170,37700
2171,37683
2172,37681
2173,37673
2174,37651
2175,37634
2176,37615
2177,37590
2178,37529
2179,37527
2180,37524
2181,37523
2182,37466
2183,37457
2184,37443
2185,37425
2186,37394
2187,37390
2188,37384
2189,37383
2190,37374
2191,37360
2192,37342
2193,37314
2194,37312
2195,37309
2196,37287
2197,37256
2198,37252
2199,37231
2200,37212
2201,37208
2202,37196
2203,37189
2204,37181
2205,37167
2206,37164
2207,37152
2208,37142
2209,37140
2210,37118
2211,37095
2212,37092
2213,37049
2214,37042
2215,37040
2216,36999
2217,36981
2218,36950
2219,36950
2220,36937
2221,36922
2222,36921
2223,36918
2224,36918
2225,36912
2226,36909
2227,36906
2228,36903
2229,36903
2230,36888
2231,36865
2232,36858
2233,36854
2234,36849
2235,36846
2236,36836
2237,36827
2238,36818
2239,36817
2240,36809
2241,36807
2242,36806
2243,36785
2244,36785
2245,36771
2246,36770
2247,36728
2248,36728
2249,36712
2250,36708
2251,36700
2252,36681
2253,36674
2254,36672
2255,36640
2256,36628
2257,36626
2258,36616
2259,36609
2260,36607
2261,36588
2262,36555
2263,36522
2264,36513
2265,36498
2266,36465
2267,36459
2268,36454
2269,36446
2270,36444
2271,36419
2272,36407
2273,36406
2274,36404
2275,36401
2276,36395
2277,36360
2278,36351
2279,36329
2280,36325
2281,36324
2282,36322
2283,36295
2284,36266
2285,36220
2286,36211
2287,36204
2288,36192
2289,36180
2290,36167
2291,36161
2292,36153
2293,36147
2294,36146
2295,36139
2296,36116
2297,36114
2298,36090
2299,36086
2300,36073
2301,36070
2302,36065
2303,35974
2304,35963
2305,35936
2306,35922
2307,35919
2308,35892
2309,35889
2310,35861
2311,35837
2312,35836
2313,35812
2314,35787
2315,35782
2316,35777
2317,35750
2318,35736
2319,35723
2320,35715
2321,35705
2322,35689
2323,35676
2324,35676
2325,35671
2326,35601
2327,35600
2328,35571
2329,35569
2330,35547
2331,35537
2332,35533
2333,35532
2334,35531
2335,35530
2336,35462
2337,35456
2338,35455
2339,35445
2340,35434
2341,35391
2342,35389
2343,35376
2344,35368
2345,35367
2346,35349
2347,35346
2348,35296
2349,35295
2350,35289
2351,35287
2352,35281
2353,35267
2354,35254
2355,35226
2356,35194
2357,35189
2358,35173
2359,35169
2360,35144
2361,35138
2362,35108
2363,35076
2364,35076
2365,35063
2366,35054
2367,35053
2368,35001
2369,34984
2370,34981
2371,34968
2372,34949
2373,34920
2374,34920
2375,34904
2376,34904
2377,34884
2378,34884
2379,34858
2380,34855
2381,34837
2382,34819
2383,34814
2384,34806
2385,34803
2386,34790
2387,34789
2388,34779
2389,34770
2390,34766
2391,34759
2392,34757
2393,34744
2394,34742
2395,34742
2396,34736
2397,34736
2398,34723
2399,34687
2400,34636
2401,34636
2402,34625
2403,34620
2404,34620
2405,34594
2406,34589
2407,34555
2408,34548
2409,34529
2410,34528
2411,34520
2412,34519
2413,34514
2414,34510
2415,34502
2416,34489
2417,34487
2418,34455
2419,34441
2420,34423
2421,34422
2422,34417
2423,34402
2424,34385
2425,34368
2426,34365
2427,34294
2428,34265
2429,34260
2430,34238
2431,34223
2432,34211
2433,34204
2434,34200
2435,34185
2436,34166
2437,34153
2438,34126
2439,34118
2440,34106
2441,34087
2442,34085
2443,34076
2444,34076
2445,34070
2446,34067
